Third Level Statistical Building Block (Middle-Layer Super Output Area) codes mapping to POLAR4,,,,,
England,E02000722,4,165,380,44.1%
England,E02000723,5,395,730,54.2%
England,E02000724,4,285,610,46.5%
England,E02000725,5,220,385,57.7%
England,E02000726,4,170,345,49.3%
England,E02000727,5,225,455,50.0%
England,E02000728,5,270,510,52.6%
England,E02000729,4,180,375,47.4%
England,E02000730,4,255,520,48.6%
England,E02000731,4,255,530,48.2%
England,E02000732,4,230,515,44.9%
England,E02000733,4,295,615,47.7%
England,E02000734,4,220,450,48.9%
England,E02000735,4,210,455,46.6%
England,E02000736,3,245,650,37.8%
England,E02000737,4,270,600,45.3%
England,E02000738,4,220,495,44.7%
England,E02000739,4,165,420,39.9%
England,E02000740,4,200,455,43.7%
England,E02000741,4,235,520,45.5%
England,E02000742,4,225,570,39.4%
England,E02000743,4,240,545,44.2%
England,E02000744,3,165,435,38.3%
England,E02000745,4,280,580,47.9%
England,E02000746,4,235,555,42.4%
England,E02000747,4,245,620,39.4%
England,E02000748,4,155,375,41.8%
England,E02000749,4,255,640,39.9%
England,E02000750,5,235,455,51.9%
England,E02000751,5,445,510,87.7%
England,E02000752,2,155,495,31.4%
England,E02000753,3,145,420,34.7%
England,E02000754,4,185,440,42.4%
England,E02000755,3,150,410,36.9%
England,E02000756,4,385,850,45.5%
England,E02000757,5,360,550,65.8%
England,E02000758,5,255,465,54.4%
England,E02000759,5,385,765,50.5%
England,E02000760,4,240,520,45.7%
England,E02000762,5,360,505,71.2%
England,E02000763,5,275,500,55.3%
England,E02000764,5,305,370,81.7%
England,E02000765,5,275,440,62.7%
England,E02000767,5,305,525,58.2%
England,E02000768,5,215,285,75.6%
England,E02000769,4,525,1090,48.1%
England,E02000770,5,365,580,63.1%
England,E02000772,5,265,510,51.8%
England,E02000773,5,445,765,57.9%
England,E02000774,5,295,500,58.7%
England,E02000776,5,265,445,59.7%
England,E02000777,5,240,380,63.5%
England,E02000779,5,200,345,57.3%
England,E02000780,5,505,955,52.6%
England,E02000781,5,590,950,62.3%
England,E02000782,5,290,570,51.4%
England,E02000783,4,215,485,44.8%
England,E02000784,5,420,275,100.0%
England,E02000785,5,360,185,100.0%
England,E02000786,5,245,255,97.2%
England,E02000787,5,240,370,64.9%
England,E02000788,5,300,215,100.0%
England,E02000789,5,170,115,100.0%
England,E02000790,5,175,155,100.0%
England,E02000791,5,160,55,100.0%
England,E02000792,5,190,145,100.0%
England,E02000793,5,275,475,57.8%
England,E02000794,5,230,335,68.0%
England,E02000795,5,290,190,100.0%
England,E02000796,4,335,690,48.2%
England,E02000797,5,140,175,79.0%
England,E02000798,5,275,520,53.4%
England,E02000799,5,220,220,100.0%
England,E02000800,3,120,325,37.3%
England,E02000801,5,185,255,73.0%
England,E02000802,5,255,310,82.7%
England,E02000803,5,285,500,57.0%
England,E02000804,5,220,255,86.7%
England,E02000805,5,355,390,91.3%
England,E02000806,5,420,425,98.8%
England,E02000807,3,105,275,38.5%
England,E02000808,4,105,235,44.8%
England,E02000809,4,95,215,44.3%
England,E02000810,3,155,415,36.7%
England,E02000812,4,165,395,42.2%
England,E02000813,4,155,380,40.6%
England,E02000814,4,115,295,39.3%
England,E02000815,4,110,265,41.9%
England,E02000816,3,135,415,32.9%
England,E02000817,3,120,345,35.3%
England,E02000818,3,135,350,38.3%
England,E02000819,3,170,475,35.8%
England,E02000820,4,150,335,43.9%
England,E02000821,4,225,550,40.7%
England,E02000822,3,165,465,35.5%
England,E02000823,4,175,425,40.7%
England,E02000824,4,290,695,41.6%
England,E02000825,4,345,755,46.0%
England,E02000826,4,250,525,47.1%
England,E02000827,4,250,550,45.9%
England,E02000828,4,225,505,44.0%
England,E02000829,4,210,475,44.0%
England,E02000830,5,220,355,61.0%
England,E02000831,4,180,380,47.4%
England,E02000832,4,250,555,45.1%
England,E02000833,4,190,390,48.4%
England,E02000834,5,160,290,54.5%
England,E02000835,4,180,365,48.6%
England,E02000836,5,205,295,69.2%
England,E02000837,5,420,245,100.0%
England,E02000838,5,210,360,57.7%
England,E02000839,5,235,285,83.3%
England,E02000840,1,135,670,20.4%
England,E02000841,2,185,680,26.9%
England,E02000842,4,245,595,40.8%
England,E02000843,2,130,515,25.7%
England,E02000844,2,155,595,26.2%
England,E02000845,4,230,555,42.0%
England,E02000846,4,215,515,41.9%
England,E02000847,4,290,590,49.1%
England,E02000848,3,250,645,38.7%
England,E02000849,4,220,470,46.4%
England,E02000850,4,335,760,44.3%
England,E02000851,3,130,350,37.7%
England,E02000852,4,200,510,39.5%
England,E02000853,4,175,435,39.6%
England,E02000854,5,240,450,53.8%
England,E02000855,5,320,545,58.5%
England,E02000856,4,235,500,47.5%
England,E02000857,5,150,225,65.8%
England,E02000858,2,175,585,29.6%
England,E02000859,5,285,500,57.0%
England,E02000860,4,100,240,41.9%
England,E02000861,5,425,585,72.7%
England,E02000863,5,255,465,55.4%
England,E02000864,3,145,435,33.7%
England,E02000865,4,165,410,39.9%
England,E02000866,4,130,330,39.4%
England,E02000867,4,130,325,40.5%
England,E02000868,4,130,310,41.8%
England,E02000869,4,90,205,45.1%
England,E02000870,3,140,360,38.1%
England,E02000871,4,210,520,40.6%
England,E02000872,4,125,310,40.8%
England,E02000873,3,140,385,35.8%
England,E02000874,4,175,430,40.1%
England,E02000875,4,275,630,43.5%
England,E02000876,4,165,415,39.8%
England,E02000877,3,215,600,35.9%
England,E02000878,4,210,480,43.3%
England,E02000879,4,190,410,46.6%
England,E02000880,4,125,300,42.0%
England,E02000881,4,220,550,40.1%
England,E02000882,3,235,610,38.2%
England,E02000883,3,165,520,32.3%
England,E02000884,4,145,360,39.6%
England,E02000885,3,170,485,35.1%
England,E02000886,4,125,300,41.7%
England,E02000887,4,200,515,39.3%
England,E02000888,4,150,365,41.2%
England,E02000889,4,120,265,46.1%
England,E02000890,4,40,95,40.0%
England,E02000891,4,165,335,48.9%
England,E02000893,4,125,320,39.3%
England,E02000894,4,130,270,48.5%
England,E02000895,4,255,645,39.8%
England,E02000896,5,270,500,54.0%
England,E02000897,3,210,570,36.7%
England,E02000898,3,225,620,36.3%
England,E02000899,4,230,560,40.8%
England,E02000900,4,270,655,41.3%
England,E02000901,4,330,730,44.9%
England,E02000902,4,235,605,39.3%
England,E02000903,3,270,720,37.8%
England,E02000904,4,215,485,44.0%
England,E02000905,4,230,530,42.9%
England,E02000906,4,190,450,42.1%
England,E02000907,4,240,565,42.7%
England,E02000908,4,185,405,45.6%
England,E02000909,4,195,430,45.5%
England,E02000910,5,245,495,49.6%
England,E02000911,4,225,570,39.6%
England,E02000912,4,245,600,40.5%
England,E02000913,4,265,550,47.9%
England,E02000914,4,270,660,41.3%
England,E02000915,5,210,405,51.6%
England,E02000916,4,215,525,40.8%
England,E02000917,4,165,380,44.1%
England,E02000918,4,195,440,44.9%
England,E02000919,4,195,405,48.3%
England,E02000920,4,255,570,45.1%
England,E02000921,3,255,665,38.6%
England,E02000922,4,220,530,41.6%
England,E02000923,5,125,100,100.0%
England,E02000924,3,185,485,38.5%
England,E02000925,5,160,295,53.3%
England,E02000926,5,115,200,58.7%
England,E02000927,3,90,240,36.3%
England,E02000928,5,220,130,100.0%
England,E02000929,3,155,410,38.0%
England,E02000930,5,110,160,66.5%
England,E02000931,5,115,105,100.0%
England,E02000932,5,150,115,100.0%
England,E02000933,5,290,180,100.0%
England,E02000934,5,130,215,60.0%
England,E02000935,4,120,300,40.1%
England,E02000936,5,130,135,95.6%
England,E02000937,5,220,130,100.0%
England,E02000938,5,185,350,53.2%
England,E02000939,5,245,100,100.0%
England,E02000940,4,145,335,42.9%
England,E02000941,5,235,270,87.0%
England,E02000942,5,310,275,100.0%
England,E02000943,5,170,170,100.0%
England,E02000944,4,165,400,40.7%
England,E02000945,4,175,390,44.8%
England,E02000946,5,170,330,51.0%
England,E02000947,5,130,200,65.8%
England,E02000948,5,135,220,61.8%
England,E02000949,5,250,165,100.0%
England,E02000950,5,160,215,74.1%
England,E02000951,5,125,175,71.9%
England,E02000952,5,175,185,94.6%
England,E02000953,5,95,190,51.1%
England,E02000954,5,160,265,61.2%
England,E02000955,4,170,355,48.2%
England,E02000956,3,105,305,33.7%
England,E02000957,4,185,395,46.6%
England,E02000958,5,290,500,58.0%
England,E02000959,4,175,370,48.1%
England,E02000960,5,140,95,100.0%
England,E02000961,5,200,275,74.0%
England,E02000962,5,175,185,95.4%
England,E02000963,4,280,640,43.4%
England,E02000964,4,285,610,47.1%
England,E02000965,5,130,200,66.1%
England,E02000966,5,200,160,100.0%
England,E02000967,5,110,70,100.0%
England,E02000968,4,395,935,42.2%
England,E02000969,4,255,575,44.3%
England,E02000970,5,125,90,100.0%
England,E02000971,5,115,85,100.0%
England,E02000972,5,85,90,91.1%
England,E02000973,5,160,150,100.0%
England,E02000974,5,160,140,100.0%
England,E02000975,5,70,75,95.3%
England,E02000976,5,130,170,76.7%
England,E02000977,5,95,90,100.0%
England,E02000978,5,165,40,100.0%
England,E02000979,5,145,145,100.0%
England,E02000980,5,155,250,62.4%
England,E02000981,5,120,120,100.0%
England,E02000982,5,140,215,66.2%
England,E02000983,5,165,300,54.4%
England,E02000984,5,300,515,58.0%
England,E02000985,5,280,530,53.2%
England,E02000986,4,200,475,41.6%
England,E02000987,2,155,495,31.6%
England,E02000988,3,235,665,35.6%
England,E02000989,4,205,460,44.6%
England,E02000990,4,205,495,41.0%
England,E02000991,4,220,560,39.6%
England,E02000992,3,135,360,38.3%
England,E02000993,1,115,585,19.3%
England,E02000994,3,180,540,33.7%
England,E02000995,4,235,550,42.9%
England,E02000996,1,100,650,15.7%
England,E02000997,4,170,355,48.4%
England,E02000998,3,180,530,34.0%
England,E02000999,3,130,400,32.3%
England,E02001000,2,160,550,29.1%
England,E02001001,5,280,510,54.4%
England,E02001002,2,185,680,27.3%
England,E02001003,5,300,320,94.2%
England,E02001004,4,235,585,40.0%
England,E02001005,3,195,520,37.1%
England,E02001006,4,225,540,42.0%
England,E02001007,2,195,720,27.0%
England,E02001008,3,245,670,36.9%
England,E02001009,2,140,455,30.6%
England,E02001010,2,125,410,30.6%
England,E02001011,4,300,620,48.7%
England,E02001012,2,230,755,30.2%
England,E02001013,5,170,340,49.5%
England,E02001014,2,150,560,26.4%
England,E02001015,2,105,435,24.3%
England,E02001016,1,120,770,15.5%
England,E02001017,2,240,825,29.4%
England,E02001018,4,270,620,43.3%
England,E02001019,4,230,525,43.9%
England,E02001020,5,230,360,63.2%
England,E02001021,5,340,555,61.0%
England,E02001022,3,190,520,36.9%
England,E02001023,4,195,460,41.8%
England,E02001024,4,245,575,42.9%
England,E02001025,2,130,510,25.2%
England,E02001026,2,175,615,28.6%
England,E02001027,2,115,400,29.2%
England,E02001028,5,275,455,59.7%
England,E02001029,3,190,495,38.6%
England,E02001030,4,185,415,44.7%
England,E02001031,4,185,430,43.1%
England,E02001032,3,180,545,32.9%
England,E02001033,1,100,425,23.2%
England,E02001034,1,105,445,23.3%
England,E02001035,5,260,500,51.8%
England,E02001036,2,160,535,29.9%
England,E02001037,5,280,375,73.7%
England,E02001038,4,145,345,41.2%
England,E02001039,2,195,640,30.2%
England,E02001040,4,205,420,48.8%
England,E02001041,3,180,545,33.1%
England,E02001042,5,235,365,63.9%
England,E02001043,4,160,365,44.2%
England,E02001044,5,320,550,57.9%
England,E02001045,2,145,580,24.7%
England,E02001046,2,175,730,24.3%
England,E02001047,2,195,715,27.6%
England,E02001048,3,190,490,38.9%
England,E02001049,2,195,765,25.5%
England,E02001050,1,105,455,23.1%
England,E02001051,2,155,575,26.7%
England,E02001052,4,360,870,41.5%
England,E02001053,1,150,780,19.5%
England,E02001055,1,135,590,22.9%
England,E02001056,1,130,705,18.4%
England,E02001057,1,100,460,22.1%
England,E02001059,1,145,620,23.1%
England,E02001061,2,165,680,24.3%
England,E02001062,4,220,535,41.2%
England,E02001063,3,145,395,36.9%
England,E02001064,2,195,655,30.2%
England,E02001065,1,125,545,22.9%
England,E02001066,4,200,505,39.8%
England,E02001067,1,160,790,20.5%
England,E02001068,3,250,715,34.7%
England,E02001069,3,135,400,34.1%
England,E02001070,4,220,485,45.4%
England,E02001071,3,310,840,36.7%
England,E02001072,5,190,360,52.7%
England,E02001073,5,260,460,56.5%
England,E02001074,4,340,830,40.7%
England,E02001075,2,135,440,30.7%
England,E02001076,5,120,200,61.0%
England,E02001077,5,235,390,59.9%
England,E02001078,5,300,605,49.5%
England,E02001079,3,195,545,35.5%
England,E02001080,4,105,245,43.5%
England,E02001081,4,135,290,46.7%
England,E02001082,5,105,200,52.7%
England,E02001083,4,90,205,42.6%
England,E02001084,4,190,410,46.7%
England,E02001085,1,180,770,23.7%
England,E02001086,3,125,355,35.1%
England,E02001087,5,255,295,86.4%
England,E02001088,1,130,610,21.6%
England,E02001089,5,330,535,61.8%
England,E02001090,4,130,330,40.2%
England,E02001091,3,145,425,34.3%
England,E02001092,1,145,615,23.4%
England,E02001093,1,115,640,18.0%
England,E02001094,1,90,735,12.1%
England,E02001095,1,110,635,17.2%
England,E02001096,1,110,495,22.1%
England,E02001097,1,85,575,14.6%
England,E02001098,3,140,385,36.6%
England,E02001099,2,125,400,30.7%
England,E02001100,4,155,395,39.7%
England,E02001101,3,160,420,38.2%
England,E02001102,3,175,475,37.3%
England,E02001103,5,200,350,56.7%
England,E02001104,2,140,555,25.4%
England,E02001105,3,145,370,38.7%
England,E02001106,3,135,390,35.1%
England,E02001107,3,175,460,38.4%
England,E02001108,1,70,410,16.8%
England,E02001109,2,130,520,24.9%
England,E02001110,5,195,300,64.9%
England,E02001111,1,110,545,20.3%
England,E02001112,4,210,455,45.8%
England,E02001113,2,280,910,30.8%
England,E02001114,3,170,520,33.0%
England,E02001115,3,125,390,32.1%
England,E02001116,2,130,455,28.2%
England,E02001117,5,200,330,60.8%
England,E02001118,5,200,400,49.9%
England,E02001119,3,320,955,33.3%
England,E02001121,3,155,485,32.2%
England,E02001123,1,85,435,19.3%
England,E02001124,1,80,415,19.3%
England,E02001125,2,175,585,29.8%
England,E02001126,1,115,575,20.2%
England,E02001127,1,115,645,17.9%
England,E02001128,2,145,545,26.8%
England,E02001129,1,85,390,22.2%
England,E02001130,3,145,410,35.4%
England,E02001131,3,120,370,33.1%
England,E02001132,2,120,390,30.7%
England,E02001133,3,175,455,38.4%
England,E02001134,3,160,425,37.2%
England,E02001135,1,155,650,23.5%
England,E02001136,4,280,665,41.8%
England,E02001137,5,215,410,52.9%
England,E02001138,5,410,645,64.0%
England,E02001139,3,240,760,31.7%
England,E02001140,2,180,605,29.5%
England,E02001141,2,260,855,30.3%
England,E02001142,5,255,310,82.3%
England,E02001143,2,270,930,29.2%
England,E02001144,3,130,400,32.2%
England,E02001145,3,180,480,37.5%
England,E02001146,4,325,770,42.4%
England,E02001147,2,195,675,29.0%
England,E02001148,3,220,670,32.6%
England,E02001149,1,135,660,20.7%
England,E02001150,1,135,690,19.2%
England,E02001151,3,275,750,36.8%
England,E02001152,2,185,720,26.0%
England,E02001153,1,120,765,15.5%
England,E02001154,2,220,795,27.4%
England,E02001155,3,130,385,33.4%
England,E02001156,4,305,665,45.5%
England,E02001157,1,100,580,17.4%
England,E02001158,1,85,430,20.3%
England,E02001159,1,90,410,21.4%
England,E02001160,1,100,485,20.4%
England,E02001161,3,120,370,32.1%
England,E02001162,1,75,360,21.4%
England,E02001163,4,245,625,39.4%
England,E02001164,2,105,415,25.2%
England,E02001165,2,120,405,30.1%
England,E02001166,4,120,300,39.6%
England,E02001167,2,100,385,26.1%
England,E02001168,2,180,645,28.1%
England,E02001169,5,380,680,55.8%
England,E02001170,5,300,435,69.0%
England,E02001171,4,160,395,40.4%
England,E02001172,1,135,585,22.8%
England,E02001173,1,95,465,20.0%
England,E02001174,5,160,320,50.6%
England,E02001175,1,135,580,23.2%
England,E02001176,4,260,560,46.7%
England,E02001177,3,235,725,32.4%
England,E02001178,3,95,300,32.2%
England,E02001179,2,75,300,24.8%
England,E02001180,1,50,275,18.2%
England,E02001181,2,120,435,27.7%
England,E02001182,2,100,360,27.9%
England,E02001183,2,100,365,27.9%
England,E02001184,2,105,400,25.8%
England,E02001185,2,190,770,24.9%
England,E02001186,2,190,735,25.7%
England,E02001187,2,135,550,24.2%
England,E02001188,1,100,550,18.3%
England,E02001189,3,205,635,31.9%
England,E02001190,1,55,545,9.9%
England,E02001191,3,150,395,37.7%
England,E02001192,5,215,315,68.7%
England,E02001193,1,85,370,22.4%
England,E02001194,5,280,365,77.0%
England,E02001195,2,135,495,27.5%
England,E02001196,4,205,495,41.3%
England,E02001197,4,195,415,47.4%
England,E02001198,2,140,525,26.8%
England,E02001199,5,300,460,65.1%
England,E02001200,2,70,270,25.6%
England,E02001201,2,110,425,25.5%
England,E02001202,2,85,290,30.1%
England,E02001203,5,210,320,65.8%
England,E02001204,2,150,570,26.6%
England,E02001205,1,115,480,23.5%
England,E02001206,4,245,535,46.3%
England,E02001207,3,155,475,32.6%
England,E02001208,3,170,470,36.6%
England,E02001209,2,130,425,31.0%
England,E02001210,1,115,550,20.6%
England,E02001211,5,215,370,58.4%
England,E02001212,1,80,585,13.3%
England,E02001213,4,270,585,46.4%
England,E02001214,5,335,435,76.7%
England,E02001215,4,170,340,49.1%
England,E02001216,5,215,385,56.1%
